Month,Year,MosquitoSpecies,TrappingMethod,Location,NumberOfMosquitoes,Rainfall,RainfallUnits,Source,SequenceNumber,OtherNotes
4,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",128,14.89361702,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
5,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",13,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
6,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",4,12.76595745,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",2,8.510638298,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
8,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",14,53.19148936,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
9,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",162,48.93617021,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
10,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",180,138.2978723,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
11,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",192,185.106383,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
12,1947,Haemagogus leucocelaenus,adult capture (not corrected for man hours),"forests near Passos, Minas Gerais",131,255.3191489,mm,Causey 1949 Diurnal Mosquitoes in an Area of Small Residual Forests in Brazil,12,"rainfall extracted using Web plot digitizer on graphs, adult captures are not corrected for man-hours, which may be problematic"
7,2000,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,22.4691358,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2000,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,97.61111111,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2000,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,33,187.0123457,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
1,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,4,203.1056241,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
3,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,8.5,239.9419027,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
5,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,60.76268861,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,5.116049383,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,1,65.74814815,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2001,Haemagogus janthinomys,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3.5,234.3703704,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",13,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2000,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,22.4691358,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2000,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,2,97.61111111,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2000,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,187.0123457,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
1,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0.5,203.1056241,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
3,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,1.5,239.9419027,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
5,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,60.76268861,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,5.116049383,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,65.74814815,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2001,Haemagogus leucocelaenus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0,234.3703704,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",14,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2000,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,0.5,22.4691358,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2000,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3.5,97.61111111,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2000,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,6,187.0123457,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
1,2001,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,12.5,203.1056241,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
3,2001,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3.5,239.9419027,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
5,2001,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,60.76268861,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
7,2001,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,2.5,5.116049383,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
9,2001,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,5.5,65.74814815,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
11,2001,Sabethes chloropterus,"adult capture (per collector, each of whom collected for 1 hour)",hydroelectric plant in Mato Grosso,3,234.3703704,mm,"Ribeiro  2012 Spatial and Temporal Abundance of Three Sylvatic Yellow Fever Vectors in the Influence Area of the Manso Hydroelectric Power Plant, Mato Grosso, Brazil",15,"rainfall and mosquito abundances extracted using WebPlotDigitizer, rainfall average over given month for study period"
10,1981,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",19.14893617,125.198939,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
11,1981,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",17.12765957,117.7718833,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
12,1981,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",2.180851064,53.05039788,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
1,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",4.521276596,79.57559682,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
2,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",0.957446809,154.9071618,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
3,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",2.287234043,12.73209549,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
4,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",5.478723404,78.51458886,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
5,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",0.904255319,5.305039788,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
6,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",4.574468085,299.204244,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
7,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",5.585106383,215.3846154,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
8,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",18.24468085,338.4615385,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
9,1982,Sabethes chloropterus,adult capture,"Pt. Gourde Forest, Trinidad",18.19148936,180.3713528,mm,"Chadee 1990 ﻿Seasonal abundance and diel landing periodicity of Sabethes chloropterus (Diptera: Culicidae) in Trinidad, West Indies.",16,"rainfall and mosquito abundances extracted using WebPlotDigitizer, mosquitoes reported as percent of total collected"
10,1981,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",4.6,119.8564593,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
11,1981,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",7,166.8660287,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
12,1981,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",1.8,48.44497608,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
1,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",3.25,84.33014354,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
2,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",3.25,151.4354067,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
3,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",17.8,10.04784689,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
4,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",1.8,73.20574163,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
5,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",3.75,2.153110048,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
6,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",20.75,292.8229665,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
7,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",38.6,279.9043062,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
8,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",16.5,279.9043062,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
9,1982,Haemagogus leucocelaenus,adult capture,"Pt. Gourde Forest, Trinidad",12.67,178.708134,mm,"Chadee 1995 ﻿Seasonal abundance, biting cycle and parity of the mosquito Haemagogus leucocelaenus in Trinidad, West Indies",17,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
10,1981,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",20,114.6496815,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
11,1981,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",5.25,169.85138,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
12,1981,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",8,52.65392781,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
1,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",11.75,77.28237792,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
2,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",1.25,163.9065817,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
3,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",15.6,13.5881104,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
4,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",2.6,49.25690021,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
5,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",2.25,287.8980892,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
6,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",28.75,308.2802548,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
7,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",92,250.5307856,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
8,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",28,299.7876858,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"
9,1982,Haemagogus janthinomys,adult capture,"Pt. Gourde Forest, Trinidad",77.3,287.0488323,mm,"Chadee 1992 ﻿Seasonality, biting cycle and parity of the yellow fever vector mosquito Haemagogus janthinomys in Trinidad",18,"mosquitoes reported as number collected per collection-day, rainfall extracted using WebPlotDigitizer"